Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
12-09-2023,Tuesday,September,Q3,2023,442.850006,445.440002,434.119995,434.690002,434.690002,3124000
11-09-2023,Monday,September,Q3,2023,443.070007,449.890015,442.75,445.359985,445.359985,2913800
08-09-2023,Friday,September,Q3,2023,443.559998,446.809998,438.850006,442.799988,442.799988,2697500
07-09-2023,Thursday,September,Q3,2023,441.149994,444.600006,436.700012,443.140015,443.140015,2922700
06-09-2023,Wednesday,September,Q3,2023,448.609985,451.390015,440.48999,445.76001,445.76001,3862300
05-09-2023,Tuesday,September,Q3,2023,438.390015,453.450012,438,448.679993,448.679993,6155900
01-09-2023,Friday,September,Q3,2023,437.730011,445.5,435.929993,439.880005,439.880005,4792100
31-08-2023,Thursday,August,Q3,2023,431.230011,437.149994,431.230011,433.679993,433.679993,3803000
30-08-2023,Wednesday,August,Q3,2023,430.850006,438.160004,428.350006,434.670013,434.670013,3625400
29-08-2023,Tuesday,August,Q3,2023,416,432.170013,414.5,429.98999,429.98999,4486700
28-08-2023,Monday,August,Q3,2023,418.040009,419.829987,413.269989,418.059998,418.059998,2928600
25-08-2023,Friday,August,Q3,2023,412,419.25,407.559998,416.029999,416.029999,5390900
24-08-2023,Thursday,August,Q3,2023,425.410004,427.589996,406.170013,406.929993,406.929993,5687800
23-08-2023,Wednesday,August,Q3,2023,418.399994,437.019989,417.709991,427.549988,427.549988,8174700
22-08-2023,Tuesday,August,Q3,2023,409,415.73999,407.399994,413.170013,413.170013,3603300
21-08-2023,Monday,August,Q3,2023,402.230011,409.609985,399.5,408.290009,408.290009,3861600
18-08-2023,Friday,August,Q3,2023,399.329987,406.519989,398.149994,404.529999,404.529999,4309200
17-08-2023,Thursday,August,Q3,2023,415,415.23999,401.579987,403,403,6031500
16-08-2023,Wednesday,August,Q3,2023,423.730011,424.51001,415.25,415.450012,415.450012,3967000
15-08-2023,Tuesday,August,Q3,2023,424.410004,429.119995,421.040009,423.700012,423.700012,3368000
14-08-2023,Monday,August,Q3,2023,421.98999,428.850006,418.779999,427.779999,427.779999,3966000
11-08-2023,Friday,August,Q3,2023,428.980011,430.630005,421.329987,421.660004,421.660004,3925200
10-08-2023,Thursday,August,Q3,2023,431.119995,438.119995,428.690002,429.980011,429.980011,5467600
09-08-2023,Wednesday,August,Q3,2023,439.73999,440.619995,427.589996,428.899994,428.899994,3846600
08-08-2023,Tuesday,August,Q3,2023,440.359985,443.570007,435.100006,438.299988,438.299988,3767200
07-08-2023,Monday,August,Q3,2023,436.459991,441.109985,428.910004,440.76001,440.76001,4781300
04-08-2023,Friday,August,Q3,2023,433.059998,436.5,426.269989,431.600006,431.600006,5439700
03-08-2023,Thursday,August,Q3,2023,427.799988,441.929993,427.190002,431,431,6243900
